StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1_NPS_GROUP,Q1,Q2_1,Q2_2,Q2_3,Q3,Q4,Q5,Q6,Q7
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"On a scale of 1-10, how funny did you find the clip? - Group","On a scale of 1-10, how funny did you find the clip?",How would you rate the clip on the following qualities? - Engagement,How would you rate the clip on the following qualities? - Entertainment Value,How would you rate the clip on the following qualities? - Content,"After seeing this video, how likely or unlikely are you to watch more of the show that was featured",Why or why not?,Do you think that the 'laugh track' in the clip (the background laughter of people alongside the normal dialogue of the characters in the clip) influenced how funny you thought the clip was?,Would you prefer it if the show kept the laugh track or did not include the laugh track?,What was your opinion of the laugh track (if any)?
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_NPS_GROUP""}","{""ImportId"":""QID2""}","{""ImportId"":""QID13_1""}","{""ImportId"":""QID13_2""}","{""ImportId"":""QID13_3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID14""}","{""ImportId"":""QID15_TEXT""}"
2020-05-06 11:02:54,2020-05-06 11:09:35,0,223.226.24.63,100,401,1,2020-05-06 11:09:36,R_1JVZj2yxcsG5MGd,,,,,12.97210693359375,77.593292236328125,anonymous,EN,1,5,3,3,2,6,"I didn't find this particular scene or these characters to be very funny or engaging. ",2,1,
2020-05-06 19:20:43,2020-05-06 19:26:21,0,152.3.34.121,100,337,1,2020-05-06 19:26:21,R_110XOx9Kf5D9ITL,,,,,36.0229034423828125,-78.94640350341796875,anonymous,EN,2,7,4,3,4,3,"The show is dramatic and somewhat engaging. However, there is little meaningful content nor an engaging storyline. Though I might be biased because the clip was exerted from the original one.",2,2,"They are essential for the atmosphere of a comedy show, but it should not be overused. "
2020-05-07 02:25:52,2020-05-07 02:31:02,0,152.3.34.121,100,310,1,2020-05-07 02:31:02,R_2UhZJfwSebaTEmy,,,,,36.0229034423828125,-78.94640350341796875,anonymous,EN,1,6,3,4,3,5,"I personally don't find it quite funny and it is kind of old-style for me. So, I may prefer other shows or soap operas. ",2,1,"It is somewhat necessary since sometimes I couldn't get the point and the laugh track reminds me of some implications that may be hilarious. "
2020-05-07 11:24:50,2020-05-07 11:25:51,0,223.226.58.14,100,60,1,2020-05-07 11:25:51,R_2sTl9hYkvpDn4tb,,,,,12.97210693359375,77.593292236328125,anonymous,EN,2,8,4,4,4,2,,3,1,"Nothing much, felt it was good"
2020-05-08 10:19:12,2020-05-08 10:21:37,0,93.171.70.104,100,144,1,2020-05-08 10:21:37,R_5mqOGpYfaKsA2v7,,,,,51.187896728515625,71.435699462890625,anonymous,EN,2,7,5,5,4,3,"I am a DKU student, do I even have time to watch TV series? But yeah, actually the feel of the series is pretty nice, reminds me of HIMYM, Friends and etc",2,1,"I think that having a laugh track influences the way people react to the series, so yeah, I think having it is important"
2020-05-08 11:09:56,2020-05-08 11:14:30,0,5.57.77.175,100,273,1,2020-05-08 11:14:30,R_3J58x366yaaPyqj,,,,,43.3260955810546875,21.901397705078125,anonymous,EN,1,6,3,4,4,4,I did not interest me that much,2,1,N/A
2020-05-09 07:34:31,2020-05-09 07:36:10,0,63.152.38.6,100,98,1,2020-05-09 07:36:10,R_1GO1fc0Q5iKTKcB,,,,,42.044097900390625,-91.6006011962890625,anonymous,EN,1,6,4,4,3,3,Interesting characters,4,1,Annoying but necessary
2020-05-09 11:12:04,2020-05-09 11:13:10,0,196.65.228.115,100,65,1,2020-05-09 11:13:10,R_325hIWxhvzOMnNy,,,,,34.012298583984375,-6.8484039306640625,anonymous,EN,1,6,3,4,3,2,,2,2,
2020-05-09 12:36:49,2020-05-09 12:46:30,0,106.206.2.27,100,581,1,2020-05-09 12:46:31,R_rcqD4CUwMh3sTGV,,,,,12.97210693359375,77.593292236328125,anonymous,EN,1,6,4,3,4,2,,5,1,"Well most shows like these from the 90's have a laugh track , it is not seen much in the present day. So the laugh track adds nostalgia when ppl watch it these days.
I feel that the kind of laugh tracks in this clip are unique to the olden day shows and add life in them...."
2020-05-09 12:54:38,2020-05-09 12:56:10,0,5.76.145.166,100,91,1,2020-05-09 12:56:10,R_3snTVFV0dXf9bS4,,,,,43.2637939453125,76.929290771484375,anonymous,EN,1,3,3,3,3,4,.,4,2,
